Retailer,Retailer ID,Invoice Date,Region,City,State,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin (%),Sales Method
Adidas Kolkata,RET-1092,2025-06-18,East,Kolkata,West Bengal,Ultraboost 22,18999,42,797958,129619.53,16.24,Retail Store
Adidas Delhi,RET-1093,2025-06-24,North,Delhi,Delhi,Adizero SL,11999,23,275977,62466.57,22.63,Retail Store
Adidas Mumbai,RET-1094,2025-06-22,West,Mumbai,Maharashtra,Ultraboost 22,18999,43,816957,134499.68,16.46,Online
Adidas Bengaluru,RET-1095,2025-06-10,South,Bengaluru,Karnataka,Superstar,8999,43,386957,39597.1,10.23,Online
Adidas Chennai,RET-1096,2025-06-29,South,Chennai,Tamil Nadu,Track Jacket,4999,28,139972,17805.02,12.72,Online
Adidas Kolkata,RET-1097,2025-06-15,East,Kolkata,West Bengal,Adizero SL,11999,43,515957,58783.99,11.39,Retail Store
Adidas Bengaluru,RET-1098,2025-06-03,South,Bengaluru,Karnataka,Track Jacket,4999,46,229954,52665.85,22.9,Retail Store
Adidas Kolkata,RET-1099,2025-06-07,East,Kolkata,West Bengal,Sports Cap,999,22,21978,4205.52,19.14,Online
Adidas Chennai,RET-1100,2025-06-01,South,Chennai,Tamil Nadu,Climacool T-shirt,2499,48,119952,15292.96,12.75,Online
Adidas Mumbai,RET-1101,2025-06-27,West,Mumbai,Maharashtra,Superstar,8999,27,242973,37383.79,15.39,Retail Store
Adidas Delhi,RET-1102,2025-06-16,North,Delhi,Delhi,Sports Cap,999,38,37962,6040.21,15.91,Retail Store
Adidas Chennai,RET-1103,2025-06-21,South,Chennai,Tamil Nadu,Adizero SL,11999,49,587951,124558.85,21.19,Retail Store
Adidas Mumbai,RET-1104,2025-06-30,West,Mumbai,Maharashtra,Track Jacket,4999,44,219956,51759.56,23.53,Retail Store
Adidas Mumbai,RET-1105,2025-06-14,West,Mumbai,Maharashtra,Track Jacket,4999,41,204959,46942.11,22.9,Retail Store
Adidas Mumbai,RET-1106,2025-06-04,West,Mumbai,Maharashtra,Adizero SL,11999,30,359970,86682.73,24.08,Retail Store
Adidas Kolkata,RET-1107,2025-06-14,East,Kolkata,West Bengal,Adizero SL,11999,32,383968,85594.17,22.29,Online
Adidas Mumbai,RET-1108,2025-06-19,West,Mumbai,Maharashtra,Climacool T-shirt,2499,31,77469,14983.52,19.34,Online
Adidas Bengaluru,RET-1109,2025-06-06,South,Bengaluru,Karnataka,Track Jacket,4999,18,89982,11625.04,12.92,Online
Adidas Mumbai,RET-1110,2025-06-16,West,Mumbai,Maharashtra,Track Jacket,4999,6,29994,6306.24,21.03,Retail Store
Adidas Delhi,RET-1111,2025-06-16,North,Delhi,Delhi,Superstar,8999,13,116987,23431.54,20.03,Retail Store
Adidas Chennai,RET-1112,2025-06-25,South,Chennai,Tamil Nadu,Sports Cap,999,38,37962,6460.64,17.02,Online
Adidas Chennai,RET-1113,2025-06-22,South,Chennai,Tamil Nadu,Superstar,8999,35,314965,45115.48,14.32,Online
Adidas Delhi,RET-1114,2025-06-19,North,Delhi,Delhi,Ultraboost 22,18999,16,303984,49779.41,16.38,Retail Store
Adidas Delhi,RET-1115,2025-06-13,North,Delhi,Delhi,Superstar,8999,37,332963,63895.4,19.19,Retail Store
Adidas Mumbai,RET-1116,2025-06-18,West,Mumbai,Maharashtra,Adizero SL,11999,39,467961,90815.77,19.41,Retail Store
Adidas Delhi,RET-1117,2025-06-30,North,Delhi,Delhi,Ultraboost 22,18999,45,854955,125543.72,14.68,Retail Store
Adidas Chennai,RET-1118,2025-06-17,South,Chennai,Tamil Nadu,Ultraboost 22,18999,18,341982,40961.46,11.98,Retail Store
Adidas Delhi,RET-1119,2025-06-18,North,Delhi,Delhi,Ultraboost 22,18999,22,417978,79476.17,19.01,Online
Adidas Mumbai,RET-1120,2025-06-19,West,Mumbai,Maharashtra,Adizero SL,11999,8,95992,15005.38,15.63,Online
Adidas Chennai,RET-1121,2025-06-14,South,Chennai,Tamil Nadu,Sports Cap,999,8,7992,1878.06,23.5,Online
Adidas Chennai,RET-1122,2025-06-25,South,Chennai,Tamil Nadu,Ultraboost 22,18999,29,550971,127792.14,23.19,Online
Adidas Bengaluru,RET-1123,2025-06-12,South,Bengaluru,Karnataka,Adizero SL,11999,38,455962,96241.9,21.11,Retail Store
Adidas Bengaluru,RET-1124,2025-06-08,South,Bengaluru,Karnataka,Adizero SL,11999,10,119990,23554.85,19.63,Online
Adidas Kolkata,RET-1125,2025-06-07,East,Kolkata,West Bengal,Ultraboost 22,18999,33,626967,119779.84,19.1,Retail Store
Adidas Kolkata,RET-1126,2025-06-13,East,Kolkata,West Bengal,Sports Cap,999,31,30969,6568.38,21.21,Online
Adidas Mumbai,RET-1127,2025-06-09,West,Mumbai,Maharashtra,Ultraboost 22,18999,7,132993,15748.48,11.84,Online
Adidas Bengaluru,RET-1128,2025-06-21,South,Bengaluru,Karnataka,Track Jacket,4999,46,229954,28617.8,12.45,Retail Store
Adidas Delhi,RET-1129,2025-06-04,North,Delhi,Delhi,Adizero SL,11999,34,407966,42498.99,10.42,Online
Adidas Kolkata,RET-1130,2025-06-11,East,Kolkata,West Bengal,Adizero SL,11999,25,299975,58040.83,19.35,Online
Adidas Chennai,RET-1131,2025-06-19,South,Chennai,Tamil Nadu,Adizero SL,11999,11,131989,31398.2,23.79,Online
Adidas Mumbai,RET-1132,2025-06-27,West,Mumbai,Maharashtra,Superstar,8999,40,359960,56581.12,15.72,Retail Store
Adidas Kolkata,RET-1133,2025-06-28,East,Kolkata,West Bengal,Sports Cap,999,33,32967,4601.58,13.96,Retail Store
Adidas Bengaluru,RET-1134,2025-06-11,South,Bengaluru,Karnataka,Sports Cap,999,22,21978,5250.41,23.89,Online
Adidas Delhi,RET-1135,2025-06-24,North,Delhi,Delhi,Track Jacket,4999,49,244951,49362.99,20.15,Online
Adidas Delhi,RET-1136,2025-06-11,North,Delhi,Delhi,Ultraboost 22,18999,28,531972,95360.89,17.93,Online
Adidas Mumbai,RET-1137,2025-06-07,West,Mumbai,Maharashtra,Track Jacket,4999,10,49990,5970.41,11.94,Retail Store
Adidas Chennai,RET-1138,2025-06-05,South,Chennai,Tamil Nadu,Track Jacket,4999,47,234953,44373.34,18.89,Retail Store
Adidas Bengaluru,RET-1139,2025-06-30,South,Bengaluru,Karnataka,Adizero SL,11999,16,191984,24553.18,12.79,Online
Adidas Chennai,RET-1140,2025-06-19,South,Chennai,Tamil Nadu,Sports Cap,999,7,6993,1648.38,23.57,Retail Store
Adidas Bengaluru,RET-1141,2025-06-11,South,Bengaluru,Karnataka,Adizero SL,11999,37,443963,64975.44,14.64,Retail Store
Adidas Bengaluru,RET-1142,2025-06-21,South,Bengaluru,Karnataka,Ultraboost 22,18999,49,930951,106406.43,11.43,Online
Adidas Bengaluru,RET-1143,2025-06-01,South,Bengaluru,Karnataka,Ultraboost 22,18999,50,949950,234456.28,24.68,Online
Adidas Delhi,RET-1144,2025-06-22,North,Delhi,Delhi,Superstar,8999,43,386957,47858.78,12.37,Online
Adidas Delhi,RET-1145,2025-06-22,North,Delhi,Delhi,Climacool T-shirt,2499,23,57477,8677.28,15.1,Retail Store
Adidas Delhi,RET-1146,2025-06-22,North,Delhi,Delhi,Adizero SL,11999,11,131989,15049.68,11.4,Retail Store
Adidas Kolkata,RET-1147,2025-06-10,East,Kolkata,West Bengal,Ultraboost 22,18999,11,208989,49734.69,23.8,Online
Adidas Kolkata,RET-1148,2025-06-15,East,Kolkata,West Bengal,Ultraboost 22,18999,42,797958,111797.45,14.01,Retail Store
Adidas Delhi,RET-1149,2025-06-06,North,Delhi,Delhi,Adizero SL,11999,50,599950,88399.79,14.73,Retail Store
Adidas Chennai,RET-1150,2025-06-14,South,Chennai,Tamil Nadu,Climacool T-shirt,2499,14,34986,6047.43,17.29,Online
Adidas Bengaluru,RET-1151,2025-06-13,South,Bengaluru,Karnataka,Adizero SL,11999,6,71994,8379.56,11.64,Retail Store
Adidas Mumbai,RET-1152,2025-06-10,West,Mumbai,Maharashtra,Adizero SL,11999,8,95992,10198.64,10.62,Retail Store
Adidas Bengaluru,RET-1153,2025-06-07,South,Bengaluru,Karnataka,Superstar,8999,23,206977,43815.77,21.17,Retail Store
Adidas Kolkata,RET-1154,2025-06-10,East,Kolkata,West Bengal,Track Jacket,4999,33,164967,35983.3,21.81,Retail Store
Adidas Chennai,RET-1155,2025-06-14,South,Chennai,Tamil Nadu,Track Jacket,4999,12,59988,6091.28,10.15,Retail Store
Adidas Kolkata,RET-1156,2025-06-01,East,Kolkata,West Bengal,Sports Cap,999,50,49950,11707.19,23.44,Online
Adidas Chennai,RET-1157,2025-06-16,South,Chennai,Tamil Nadu,Superstar,8999,40,359960,54890.99,15.25,Retail Store
Adidas Bengaluru,RET-1158,2025-06-25,South,Bengaluru,Karnataka,Sports Cap,999,25,24975,3808.25,15.25,Online
Adidas Chennai,RET-1159,2025-06-18,South,Chennai,Tamil Nadu,Ultraboost 22,18999,47,892953,206934.87,23.17,Online
Adidas Bengaluru,RET-1160,2025-06-24,South,Bengaluru,Karnataka,Adizero SL,11999,35,419965,67358.17,16.04,Retail Store
Adidas Bengaluru,RET-1161,2025-06-21,South,Bengaluru,Karnataka,Adizero SL,11999,35,419965,53963.5,12.85,Online
Adidas Delhi,RET-1162,2025-06-23,North,Delhi,Delhi,Climacool T-shirt,2499,29,72471,15104.69,20.84,Retail Store
Adidas Kolkata,RET-1163,2025-06-09,East,Kolkata,West Bengal,Climacool T-shirt,2499,46,114954,26930.8,23.43,Retail Store
Adidas Delhi,RET-1164,2025-06-24,North,Delhi,Delhi,Climacool T-shirt,2499,34,84966,14872.78,17.5,Online
Adidas Chennai,RET-1165,2025-06-26,South,Chennai,Tamil Nadu,Track Jacket,4999,44,219956,27300.88,12.41,Online
Adidas Chennai,RET-1166,2025-06-05,South,Chennai,Tamil Nadu,Adizero SL,11999,44,527956,120238.3,22.77,Online
Adidas Bengaluru,RET-1167,2025-06-19,South,Bengaluru,Karnataka,Climacool T-shirt,2499,40,99960,18684.86,18.69,Retail Store
Adidas Chennai,RET-1168,2025-06-15,South,Chennai,Tamil Nadu,Ultraboost 22,18999,5,94995,16523.63,17.39,Online
Adidas Mumbai,RET-1169,2025-06-05,West,Mumbai,Maharashtra,Adizero SL,11999,23,275977,31134.09,11.28,Retail Store
Adidas Bengaluru,RET-1170,2025-06-27,South,Bengaluru,Karnataka,Track Jacket,4999,27,134973,29613.12,21.94,Retail Store
Adidas Bengaluru,RET-1171,2025-06-27,South,Bengaluru,Karnataka,Superstar,8999,8,71992,17512.7,24.33,Retail Store
Adidas Chennai,RET-1172,2025-06-02,South,Chennai,Tamil Nadu,Ultraboost 22,18999,27,512973,53098.73,10.35,Online
Adidas Chennai,RET-1173,2025-06-09,South,Chennai,Tamil Nadu,Sports Cap,999,34,33966,3812.36,11.22,Retail Store
Adidas Chennai,RET-1174,2025-06-02,South,Chennai,Tamil Nadu,Adizero SL,11999,7,83993,17075.17,20.33,Online
Adidas Kolkata,RET-1175,2025-06-05,East,Kolkata,West Bengal,Ultraboost 22,18999,24,455976,46563.34,10.21,Online
Adidas Bengaluru,RET-1176,2025-06-28,South,Bengaluru,Karnataka,Sports Cap,999,49,48951,11418.52,23.33,Online
Adidas Bengaluru,RET-1177,2025-06-11,South,Bengaluru,Karnataka,Track Jacket,4999,13,64987,15062.17,23.18,Online
Adidas Bengaluru,RET-1178,2025-06-02,South,Bengaluru,Karnataka,Ultraboost 22,18999,32,607968,138655.86,22.81,Retail Store
Adidas Chennai,RET-1179,2025-06-25,South,Chennai,Tamil Nadu,Climacool T-shirt,2499,20,49980,10647.32,21.3,Online
Adidas Delhi,RET-1180,2025-06-17,North,Delhi,Delhi,Adizero SL,11999,9,107991,15004.39,13.89,Online
Adidas Chennai,RET-1181,2025-06-26,South,Chennai,Tamil Nadu,Ultraboost 22,18999,7,132993,18011.42,13.54,Retail Store
Adidas Delhi,RET-1182,2025-06-22,North,Delhi,Delhi,Superstar,8999,5,44995,8000.04,17.78,Retail Store
Adidas Bengaluru,RET-1183,2025-06-27,South,Bengaluru,Karnataka,Track Jacket,4999,39,194961,23608.77,12.11,Retail Store
Adidas Kolkata,RET-1184,2025-06-08,East,Kolkata,West Bengal,Track Jacket,4999,11,54989,8781.37,15.97,Retail Store
Adidas Kolkata,RET-1185,2025-06-05,East,Kolkata,West Bengal,Adizero SL,11999,22,263978,35224.66,13.34,Online
Adidas Bengaluru,RET-1186,2025-06-08,South,Bengaluru,Karnataka,Sports Cap,999,13,12987,2114.68,16.28,Retail Store
Adidas Chennai,RET-1187,2025-06-12,South,Chennai,Tamil Nadu,Ultraboost 22,18999,25,474975,85564.81,18.01,Retail Store
Adidas Mumbai,RET-1188,2025-06-18,West,Mumbai,Maharashtra,Track Jacket,4999,26,129974,27346.39,21.04,Online
Adidas Mumbai,RET-1189,2025-06-16,West,Mumbai,Maharashtra,Sports Cap,999,5,4995,944.93,18.92,Online
Adidas Delhi,RET-1190,2025-06-12,North,Delhi,Delhi,Ultraboost 22,18999,25,474975,107292.24,22.59,Online
Adidas Delhi,RET-1191,2025-06-13,North,Delhi,Delhi,Adizero SL,11999,10,119990,15008.84,12.51,Retail Store
Adidas Delhi,RET-1192,2025-06-12,North,Delhi,Delhi,Ultraboost 22,18999,26,493974,59819.82,12.11,Retail Store
Adidas Mumbai,RET-1193,2025-06-19,West,Mumbai,Maharashtra,Superstar,8999,34,305966,51113.97,16.71,Retail Store
Adidas Kolkata,RET-1194,2025-06-21,East,Kolkata,West Bengal,Adizero SL,11999,5,59995,8105.75,13.51,Retail Store
Adidas Delhi,RET-1195,2025-06-07,North,Delhi,Delhi,Climacool T-shirt,2499,34,84966,18335.26,21.58,Online
Adidas Delhi,RET-1196,2025-06-18,North,Delhi,Delhi,Superstar,8999,24,215976,35543.37,16.46,Retail Store
Adidas Bengaluru,RET-1197,2025-06-18,South,Bengaluru,Karnataka,Ultraboost 22,18999,15,284985,34937.05,12.26,Online
Adidas Delhi,RET-1198,2025-06-24,North,Delhi,Delhi,Sports Cap,999,46,45954,5637.53,12.27,Online
Adidas Chennai,RET-1199,2025-06-02,South,Chennai,Tamil Nadu,Sports Cap,999,47,46953,6798.93,14.48,Retail Store
Adidas Delhi,RET-1200,2025-06-04,North,Delhi,Delhi,Climacool T-shirt,2499,41,102459,22369.89,21.83,Online
Adidas Delhi,RET-1201,2025-06-22,North,Delhi,Delhi,Track Jacket,4999,32,159968,16290.39,10.18,Online
Adidas Kolkata,RET-1202,2025-06-21,East,Kolkata,West Bengal,Ultraboost 22,18999,37,702963,101171.56,14.39,Retail Store
Adidas Mumbai,RET-1203,2025-06-01,West,Mumbai,Maharashtra,Adizero SL,11999,42,503958,101786.85,20.2,Online
Adidas Kolkata,RET-1204,2025-06-24,East,Kolkata,West Bengal,Ultraboost 22,18999,29,550971,129165.52,23.44,Retail Store
Adidas Delhi,RET-1205,2025-06-12,North,Delhi,Delhi,Ultraboost 22,18999,8,151992,30609.57,20.14,Retail Store
Adidas Mumbai,RET-1206,2025-06-25,West,Mumbai,Maharashtra,Adizero SL,11999,8,95992,12296.3,12.81,Online
Adidas Delhi,RET-1207,2025-06-28,North,Delhi,Delhi,Adizero SL,11999,46,551954,95320.33,17.27,Online
Adidas Bengaluru,RET-1208,2025-06-30,South,Bengaluru,Karnataka,Climacool T-shirt,2499,16,39984,7432.89,18.59,Online
Adidas Delhi,RET-1209,2025-06-22,North,Delhi,Delhi,Track Jacket,4999,31,154969,17942.69,11.58,Retail Store
Adidas Delhi,RET-1210,2025-06-14,North,Delhi,Delhi,Adizero SL,11999,50,599950,103369.48,17.23,Online
